2021-05-20T14:03:42,265 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T14:03:42,301 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T14:03:42,302 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T14:05:05,172 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T14:05:05,268 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T14:05:05,269 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T14:05:05,477 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T14:05:05,477 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T14:05:05,479 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T14:05:05,482 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T14:05:05,566 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T14:05:05,567 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T15:27:22,930 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T15:27:23,046 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:27:23,048 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T15:27:23,368 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:27:23,369 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:27:23,369 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:27:23,371 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:27:23,437 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:27:23,439 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female), DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male)]. 
2021-05-20T15:30:24,790 TRACE [Test worker]: DirectorController                   - > deleteDirector - method entered. id = 3 
2021-05-20T15:30:24,880 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:30:24,882 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
2021-05-20T15:30:25,196 TRACE [Test worker]: DirectorController                   - > getAllDirectors - method entered. 
2021-05-20T15:30:25,197 TRACE [Test worker]: DirectorController                   - > getAllDirectors - result = [DirectorDTO(super=BaseDTO(id=4), name=Chris, age=27, gender=male), DirectorDTO(super=BaseDTO(id=3), name=Helen, age=30, gender=female)]. 
